count,age_group,archetype,age_low,age_high,a_in,a_out,months,a,u,pu_in,pu,u_ic,pu_ic,Bi,N_age,LE,inc_age,beta,f,gamma,r_a,r_c,r_v,theta_s,theta_a,alpha,alpha_v,phi,rho,VE,pvx_r,vx_c,vx_b_on,vx_sc,pvx_sr,q_ic,c_ic,c_ic_med,c_vx_r,c_vx_c,c_vx_sc,c_vx_sr,c_vx_sq,c1_vx_r,c1_vx_c,c1_vx_sc,c1_vx_sr,c_vx_r_all,c_vx_r_1,c_vx_c_all,c_vx_c_all_med,c_vx_c_1
1,1,1,0,0.75,0,0.111111111,9,0.111111111,0.0357,0,0.068910618,0.010050336,0.01,0.0228,1466.666667,65.13,0.000217,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.018633333,0.008333333,0.0003,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,0.75,1.166666667,0.111111111,0.2,5,0.2,0.0048,0.0357,0.068910618,0.010050336,0.01,0,1466.666667,65.13,0.000217,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.018633333,0.008333333,0.0003,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,1.166666667,2,0.2,0.1,10,0.1,0.0048,0.0048,0.003294561,0.010050336,0.01,0,1466.666667,67.0225,0.000217,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.018633333,0.008333333,0.0003,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,2,5,0.1,0.027777778,36,0.027777778,0.0033,0.0048,0.003294561,0.010050336,0.01,0,6400,67.0225,0.000498,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.0039,0.008333333,0.0003,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,5,10,0.027777778,0.016666667,60,0.016666667,0.0015,0.0033,0.001498876,0.010050336,0.01,0,10500,64.3331,0.000654,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0003,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1,10,15,0.016666667,0.016666667,60,0.016666667,0.0009,0.0015,0.000899595,0.010050336,0.01,0,10200,60.0032,0.000718,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0003,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1,15,20,0.016666667,0.016666667,60,0.016666667,0.0014,0.0009,0.00139902,0.010050336,0.01,0,9600,55.3933,0.000345,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0003,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,1,20,25,0.016666667,0.016666667,60,0.016666667,0.0018,0.0014,0.001798381,0.010050336,0.01,0,8900,50.9163,0.000345,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0024,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,1,25,30,0.016666667,0.016666667,60,0.016666667,0.002,0.0018,0.001998001,0.010050336,0.01,0,5577.777778,46.5867,0.000345,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0024,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,1,30,35,0.016666667,0.016666667,60,0.016666667,0.0023,0.002,0.002297357,0.010050336,0.01,0,5577.777778,42.2571,0.000345,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0051,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,1,35,40,0.016666667,0.016666667,60,0.016666667,0.0028,0.0023,0.002796084,0.010050336,0.01,0,5577.777778,37.9321,0.000345,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0051,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,1,40,45,0.016666667,0.016666667,60,0.016666667,0.0037,0.0028,0.003693163,0.010050336,0.01,0,5577.777778,33.639,0.000345,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0101,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,1,45,50,0.016666667,0.016666667,60,0.016666667,0.0052,0.0037,0.005882629,0.010050336,0.01,0,5577.777778,29.4351,0.000345,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0101,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,1,50,55,0.016666667,0.016666667,60,0.016666667,0.0077,0.0052,0.007670431,0.010050336,0.01,0,5577.777778,25.3188,0.000345,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0116,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,1,55,60,0.016666667,0.016666667,60,0.016666667,0.0116,0.0077,0.011532979,0.010050336,0.01,0,5577.777778,21.3793,0.000345,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0116,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,1,60,65,0.016666667,0.016666667,60,0.016666667,0.0174,0.0116,0.017249494,0.010050336,0.01,0,5577.777778,17.5942,0.000345,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.009,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,1,65,100,0.016666667,0.002380952,420,0.002380952,0.053060278,0.0174,0.1939624907279720,0.010050336,0.01,0,5577.777778,6.5101375,0.000345,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.009,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,2,0,0.75,0,0.111111111,9,0.111111111,0.0357,0,0.068910618,0.010050336,0.01,0.0228,1466.666667,65.13,0.001585,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.018633333,0.008333333,0.0003,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,2,0.75,1.166666667,0.111111111,0.2,5,0.2,0.0048,0.0357,0.003294561,0.010050336,0.01,0,1466.666667,65.13,0.001585,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.018633333,0.008333333,0.0003,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,2,1.166666667,2,0.2,0.1,10,0.1,0.0048,0.0048,0.003294561,0.010050336,0.01,0,1466.666667,67.0225,0.001585,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.018633333,0.008333333,0.0003,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,2,2,5,0.1,0.027777778,36,0.027777778,0.0033,0.0048,0.003294561,0.010050336,0.01,0,6400,67.0225,0.00517,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.0039,0.008333333,0.0003,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,2,5,10,0.027777778,0.016666667,60,0.016666667,0.0015,0.0033,0.001498876,0.010050336,0.01,0,10500,64.3331,0.003833,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0003,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6,2,10,15,0.016666667,0.016666667,60,0.016666667,0.0009,0.0015,0.000899595,0.010050336,0.01,0,10200,60.0032,0.003372,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0003,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,7,2,15,20,0.016666667,0.016666667,60,0.016666667,0.0014,0.0009,0.00139902,0.010050336,0.01,0,9600,55.3933,0.001282,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0003,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,8,2,20,25,0.016666667,0.016666667,60,0.016666667,0.0018,0.0014,0.001798381,0.010050336,0.01,0,8900,50.9163,0.001282,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0024,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9,2,25,30,0.016666667,0.016666667,60,0.016666667,0.002,0.0018,0.001998001,0.010050336,0.01,0,5577.777778,46.5867,0.001282,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0024,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,10,2,30,35,0.016666667,0.016666667,60,0.016666667,0.0023,0.002,0.002297357,0.010050336,0.01,0,5577.777778,42.2571,0.001282,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0051,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,11,2,35,40,0.016666667,0.016666667,60,0.016666667,0.0028,0.0023,0.002796084,0.010050336,0.01,0,5577.777778,37.9321,0.001282,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0051,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,12,2,40,45,0.016666667,0.016666667,60,0.016666667,0.0037,0.0028,0.003693163,0.010050336,0.01,0,5577.777778,33.639,0.001282,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0101,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,13,2,45,50,0.016666667,0.016666667,60,0.016666667,0.0052,0.0037,0.005882629,0.010050336,0.01,0,5577.777778,29.4351,0.001282,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0101,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,14,2,50,55,0.016666667,0.016666667,60,0.016666667,0.0077,0.0052,0.007670431,0.010050336,0.01,0,5577.777778,25.3188,0.001282,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0116,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,15,2,55,60,0.016666667,0.016666667,60,0.016666667,0.0116,0.0077,0.011532979,0.010050336,0.01,0,5577.777778,21.3793,0.001282,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0116,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,16,2,60,65,0.016666667,0.016666667,60,0.016666667,0.0174,0.0116,0.017249494,0.010050336,0.01,0,5577.777778,17.5942,0.001282,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.009,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,17,2,65,100,0.016666667,0.002380952,420,0.002380952,0.053060278,0.0174,0.1939624907279720,0.010050336,0.01,0,5577.777778,6.5101375,0.001282,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.009,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,3,0,0.75,0,0.111111111,9,0.111111111,0.0357,0,0.068910618,0.010050336,0.01,0.0228,1466.666667,65.13,0.013333,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.018633333,0.008333333,0.0003,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,3,0.75,1.166666667,0.111111111,0.2,5,0.2,0.0048,0.0357,0.003294561,0.010050336,0.01,0,1466.666667,65.13,0.013333,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.018633333,0.008333333,0.0003,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3,3,1.166666667,2,0.2,0.1,10,0.1,0.0048,0.0048,0.003294561,0.010050336,0.01,0,1466.666667,67.0225,0.013333,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.018633333,0.008333333,0.0003,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,3,2,5,0.1,0.027777778,36,0.027777778,0.0033,0.0048,0.003294561,0.010050336,0.01,0,6400,67.0225,0.041667,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.0039,0.008333333,0.0003,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,5,3,5,10,0.027777778,0.016666667,60,0.016666667,0.0015,0.0033,0.001498876,0.010050336,0.01,0,10500,64.3331,0.025755,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0003,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6,3,10,15,0.016666667,0.016666667,60,0.016666667,0.0009,0.0015,0.000899595,0.010050336,0.01,0,10200,60.0032,0.018898,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0003,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,7,3,15,20,0.016666667,0.016666667,60,0.016666667,0.0014,0.0009,0.00139902,0.010050336,0.01,0,9600,55.3933,0.005652,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0003,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,8,3,20,25,0.016666667,0.016666667,60,0.016666667,0.0018,0.0014,0.001798381,0.010050336,0.01,0,8900,50.9163,0.005652,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0024,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,9,3,25,30,0.016666667,0.016666667,60,0.016666667,0.002,0.0018,0.001998001,0.010050336,0.01,0,5577.777778,46.5867,0.005652,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0024,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,3,30,35,0.016666667,0.016666667,60,0.016666667,0.0023,0.002,0.002297357,0.010050336,0.01,0,5577.777778,42.2571,0.005652,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0051,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,11,3,35,40,0.016666667,0.016666667,60,0.016666667,0.0028,0.0023,0.002796084,0.010050336,0.01,0,5577.777778,37.9321,0.005652,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0051,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,12,3,40,45,0.016666667,0.016666667,60,0.016666667,0.0037,0.0028,0.003693163,0.010050336,0.01,0,5577.777778,33.639,0.005652,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0101,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,13,3,45,50,0.016666667,0.016666667,60,0.016666667,0.0052,0.0037,0.005882629,0.010050336,0.01,0,5577.777778,29.4351,0.005652,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0101,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,14,3,50,55,0.016666667,0.016666667,60,0.016666667,0.0077,0.0052,0.007670431,0.010050336,0.01,0,5577.777778,25.3188,0.005652,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0116,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,15,3,55,60,0.016666667,0.016666667,60,0.016666667,0.0116,0.0077,0.011532979,0.010050336,0.01,0,5577.777778,21.3793,0.005652,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.0116,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,16,3,60,65,0.016666667,0.016666667,60,0.016666667,0.0174,0.0116,0.017249494,0.010050336,0.01,0,5577.777778,17.5942,0.005652,0,0,1.015572106,0.72,0.129,0.4608,0.607,0.292,0,0.001733333,0.008333333,0.009,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
